Place Name,Address,City,Zip,State,Place ID,Longitude,Latitude,Status,Last Contacted,Contact Name,Email/Contact,Phone Number,Booking Contact,Contact Type,Priority,Next Follow Up,Past Gigs,Future Gigs,Last Played,Next Booked,Past Gig Count,Future Gig Count,Total Gig Count,Last Synced,Venue Type,Website,Notes
9ers Breakfast Brew BBQ,130 S Lyman St,Wadsworth,44281,OH,9ers-breakfast-brew-bbq-wadsworth-oh-44281,-81.727919,41.02459,Told No / Closed / No Music,05/18/2024,George,Tasha@9ersdiner.com,330-460-6357,,I'm,3,,,,,,,,5,2026-05-07T04:36:16.000Z,Brewery,https://www.9ersdiner.com/,Previous CRM status: Closed and Not Booking
9ers Diner & Pub,63 Pearl Rd,Brunswick,44212,OH,9ers-diner-and-pub-brunswick-oh-44212,-81.836908,41.273826,Told No / Closed / No Music,03/18/2024,Laura,Tasha@9ersdiner.com,330-460-6357,,Talk,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,https://www.9ersdiner.com/,"Said to email back if not heard from
Previous CRM status: Closed and Not Booking"
Aeonian Brewing Co,120 W Chestnut St,Alliance,44601,OH,aeonian-brewing-co-alliance-oh-44601,-81.107346,40.900777,Needs Review,02/24/2025,,,330-596-1004,,web,3,,,,,,,,2,2026-05-07T04:36:16.000Z,Brewery,http://www.aeonianbrewing.com/,
Akronym Public House 5121 Buehlers Dr,Medina,OH 44256,,OH,akronym-public-house-5121-buehlers-dr-medina-oh-44256,-81.816294,41.135946,Needs Review,,,,330-952-1112,,,5,,,,,,,,,,Pub/Bar,https://akronymbrewing.com/,
Forest City Brewery,2135 Columbus Rd,Cleveland,44113,OH,forest-city-brewery-cleveland-oh-44113,-81.700385,41.483168,Open Microphone,Thu Oct 12 2023 00:00:00 GMT-0400 (Eastern Daylight Time),,ForestCityBrewery@gmail.com,216-228-9116,,email/stop,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Brewery,http://www.forestcitybrewery.com/,Open microphone
Aloft Airport Cleveland   5550 Great Northern Blvd.  North Olmstead  OH 44070,,,,OH,aloft-airport-cleveland-5550-great-northern-blvd-north-olmstead-oh-44070-oh,-81.902858,41.40864,Not Contacted Yet,01/17/2025,Twila,,,,Messenger,,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,
Amy's Arbors,6735 Center Road Valley City,Ohio 44280,,OH,amy-s-arbors-6735-center-road-valley-city-oh,-81.930227,41.237688,Played in the Past,Sun Sep 01 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Amy Hudson,amy@amysarbors.com,330-483-9463,,stop,1,,2024-03-15 | COMPLETED | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd; 2024-04-26 | COMPLETED | JustDeeDeeMuisc Live @ AMY'S ARBORS | 6735 Center Rd; OH 44280 | historical-2024-03-15-amys-arbors-justdeedeemuisc-live-amys-arbors-9; OH 44280 | historical-2024-04-26-amys-arbors-justdeedeemuisc-live-amys-arbors-14; Valley City,,Fri Apr 26 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,2,,2,2026-05-08T02:35:41.539Z,Other Venue,amysarbors.com,
Anchor Inn,16736 Milton Ave,Lake Milton,44429,OH,anchor-inn-lake-milton-oh-44429,-80.970004,41.099382,Not Contacted Yet,,Shay,,330-557-1014,,,,,,,,,,,,,Other Venue,,
Arsenal Tap House 4507 Lorain Ave,Cleveland,OH,,OH,arsenal-tap-house-4507-lorain-ave-united-states-oh,-81.71778,41.478735,Needs Review,01/13/2024,,wine@arsenalciderhouse.com,216-534-6813,,,3,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,http://www.arsenalciderhouse.com/,
Ashland Main Street,143 W Main St,Ashland,44805,OH,ashland-main-street-ashland-oh-44805,-82.317008,40.86866,Needs Review,,,,,,,,,,,,,,,,,Other Venue,,
Avon Brewing Company,37040 Detroit Rd,Avon,44011,OH,avon-brewing-company-avon-oh-44011,-82.035368,41.451499,Told No / Closed / No Music,01/13/2024,Liz?,https://avonbrewingcompany.com,440-937-1816,,,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Brewery,,Previous CRM status: Closed and Not Booking
B ROX Grill and Swill,2119 Mentor Ave,Painesville,44077,OH,b-rox-grill-and-swill-painesville-oh-44077,-81.289029,41.688752,Booked,10/18/2025,Brock only big bands,,440-352-8800,,,,,,2026-08-29; Sat Aug 29 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,Sat Aug 29 2026 00:00:00 GMT-0400 (Eastern Daylight Time),0,2,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Restaurant,,
B ROX Grill and Swill,5604 Wilson Mills Rd,Highland Heights,44143,OH,b-rox-grill-and-swill-highland-heights-oh-44143,-81.477868,41.538931,Not Contacted Yet,10/18/2025,Brock Summer on patio,,440-566-0139,,,,,,,,,,,,,Restaurant,,
Baci Winery 7800 Warner Rd,Madison,OH 44057,,OH,baci-winery-7800-warner-rd-madison-oh-44057,-81.009043,41.758765,Booked,Thu May 08 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Lisa and Candice. Tt Candice,,440-307-2224,,stop,4,,2025-10-12; 2025-10-12 2:00pm ET | COMPLETED | Baci Winery | 57ldagvo54g5a0co8ffr5bhdr5@google.com; 2026-05-02,2026-07-31; Fri Jul 31 2026 00:00:00 GMT-0400 (Eastern Daylight Time),Sat May 02 2026 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Jul 31 2026 00:00:00 GMT-0400 (Eastern Daylight Time),3,2,5,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Winery,http://www.baciwinery.com/,
Back Draft Bar and Grill,24775 Lorain Rd,North Olmsted,44070,OH,back-draft-bar-and-grill-north-olmsted-oh-44070,-81.896578,41.425788,Needs Review,Sat Jun 01 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,backdraftbar24775@gmail.com,440-979-1930,,email,5,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,,
"Bait House Brewery 223 Meigs St.  Sandusky, OH 44870",,,,OH,bait-house-brewery-223-meigs-st-sandusky-oh-44870,-82.702035,41.458768,Played in the Past,7/24/2025,Dan Jordan,,419-502-4677,,,,,2026-04-24; Fri Apr 24 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,Fri Apr 24 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,2,0,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Other Venue,,
Bait House,121 E Perry St,Port Clinton,43452,OH,bait-house-port-clinton-oh-43452,-82.940735,41.513362,Played in the Past,09/24/2025,Lmovm for Debby porter,,419-734-2101,,,,,2026-04-24 6:00pm ET | COMPLETED | Bait House Brewery | 60msgdls9puefn4cg6gv51p9sc@google.com,,Fri Apr 24 2026 00:00:00 GMT-0400 (Eastern Daylight Time),,1,,1,2026-05-08T02:35:41.539Z,Other Venue,,
Ballantine,4113 Erie St,Willoughby,44094,OH,ballantine-willoughby-oh-44094,-81.406592,41.640407,Not Contacted Yet,10/18/2025,only big bands w a following,,440-942-5151,,,,,,,,,,,,,Other Venue,,
Baltic Mill Winery,111 E Main St,Baltic,43804,OH,baltic-mill-winery-baltic-oh-43804,-81.703161,40.440208,Needs Review,,,,330-365-0524,,,,,,,,,,,,,Winery,,
Barley Jack's Pub & Eatery 5333 Center Rd,Brunswick,OH 44212,,OH,barley-jack-s-pub-and-eatery-5333-center-rd-brunswick-oh-44212,-81.87604,41.237932,Not Contacted Yet,03/20/2024,Judy,Barleyjacks@gmail.com,330-460-6710,,stop,4,,,,,,,,2,2026-05-07T04:36:16.000Z,Restaurant,,
Barrel House 9,9 Park Rd,Painesville,44077,OH,barrel-house-9-painesville-oh-44077,-81.196128,41.725571,Told No / Closed / No Music,Tue Jun 10 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Tom,,440-551-9548,,,,,,,,,,,,,Pub/Bar,,Previous CRM status: Closed and Not Booking
Bascule Brewery and Public House,1397 Colorado Ave,Lorain,44052,OH,bascule-brewery-and-public-house-lorain-oh-44052,-82.157028,41.46558,Played in the Past,01/31/2024,Chris Owner,,440-714-2219,,messanger,1,,2024-02-23 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave; 2024-08-17 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave; 2024-09-20 | COMPLETED | JustDeeDeeMuisc Live @ Bascule Brewery and Public House | 1397 Colorado Ave; Lorain; OH 44052 | historical-2024-02-23-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-7; OH 44052 | historical-2024-08-17-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-42; OH 44052 | historical-2024-09-20-bascule-brewery-public-house-justdeedeemuisc-live-bascule-brewery-public-house-53,,Fri Sep 20 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,3,,3,2026-05-08T02:35:41.539Z,Brewery,http://basculebrewery.com/,
Basement at the Lakes,3420 Manchester Rd,Akron,44319,OH,basement-at-the-lakes-akron-oh-44319,-81.555677,41.006592,Needs Review,,,,330-644-4000,,,4,,,,,,,,,,Other Venue,,
Bayport Resort & Marina,200 Bay Point Blvd,Marblehead,43440,OH,bayport-resort-and-marina-marblehead-oh-43440,-82.722727,41.515398,Needs Review,,,,419-798-4434,,,,,,,,,,,,,Other Venue,,
Beals Pickles n Pints,36200 Euclid Ave,Willoughby,44094,OH,beals-pickles-n-pints-willoughby-oh-44094,-81.43082,41.626826,Told No / Closed / No Music,08/19/2025,,,440-946-7468,,No live music only once in a great while,,,,,,,,,,,Other Venue,,Previous CRM status: Closed and Not Booking
"Beau's Grille - 3180 W Market St, Akron Ohio 44333",,,,OH,beau-s-grille-3180-w-market-st-oh,-81.615633,41.130799,Needs Review,08/252,,Beausgrill@rdamanagement.com,330-867-5218,,Emsil,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,,Hilton
Beau's Grille,3180 W Market St,Akron,44333,OH,beau-s-grille-akron-oh-44333,-81.615633,41.130799,Not Contacted Yet,08/15/2025,Owner,,,,,,,,,,,,,,,Restaurant,,
Beau's On The River,Akron Cuyahoga Falls 1989 Front St,Cuyahoga Falls,44221,OH,beau-s-on-the-river-cuyahoga-falls-oh-44221,-81.482679,41.133666,Not Contacted Yet,08/25/2025,Chelsey Ramsey,Lmovm,330-920-7530,,stop,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Other Venue,,Sheraton
Beerhead Bar & Eatery,1813 Nagel Rd Suite 100,Avon,44011,OH,beerhead-bar-and-eatery-avon-oh-44011,-81.988814,41.464156,Needs Review,01/25/2024,,Info@beerheadbar.com,440-695-0347,,,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,,
Beerhead Bar & Eatery,1813 Nagel Rd Suite 100,Avon,44011,OH,beerhead-bar-and-eatery-avon-oh-44011-2,-81.988814,41.464156,Needs Review,,,,440-695-0347,,,,,,,,,,,,,Restaurant,,
Bell Tower Brewing Co 310 Park Ave,Kent,OH 44240,,OH,bell-tower-brewing-co-310-park-ave-kent-oh-44240,-81.360457,41.154804,Needs Review,,,,330-663-2355,,,4,,,,,,,,,,Brewery,https://belltowerbrewing.com/,
Benny Vino Urban Winery 834 S County Line Rd,Geneva,OH 44041,,OH,benny-vino-urban-winery-834-s-county-line-rd-geneva-oh-44041,-81.002846,41.751507,Played in the Past,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),Rachel/ gene or Jean does bookings comes back 2nd week in Oct,,440-361-3049,,,5,,2025-12-19; Fri Dec 19 2025 00:00:00 GMT-0500 (Eastern Standard Time),,Fri Dec 19 2025 00:00:00 GMT-0500 (Eastern Standard Time),,2,0,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Winery,http://bennyvinourbanwinery.com/,
Bent Ladder Cider and Wine,13550 Mt Eaton Rd N,Doylestown,44230,OH,bent-ladder-cider-and-wine-doylestown-oh-44230,-81.738275,40.964938,Not Contacted Yet,12/22/2023,Matt,info@bentladder.com,330-485-1089,,email/stop,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Winery,,
Between the Bun,34445 Center Ridge Rd,North Ridgeville,44039,OH,between-the-bun-north-ridgeville-oh-44039,-81.999092,41.39679,Not Contacted Yet,04/28/2024,Lacy,,440-281-8885,,Card messenger,5,,,,,,,,2,2026-05-07T04:36:16.000Z,Other Venue,http://www.betweenbun.com/,
Big Top Brewhouse,820 Center Rd,Avon,44011,OH,big-top-brewhouse-avon-oh-44011,-82.01944,41.477938,Needs Review,,,,440-695-0536,,,,,,,,,,,,,Brewery,,
Birdfish Brewing Co.,140 E Park Ave,Columbiana,44408,OH,birdfish-brewing-co-columbiana-oh-44408,-80.691259,40.888676,Needs Review,,,,330-333-9385,,,,,,,,,,,,,Brewery,,
Bistro on Main,1313 W Main St,Kent Ohio 44230,,OH,bistro-on-main-1313-w-main-st-oh,-81.391039,41.152915,Played in the Past,09/28/2014,Dave,Aaron@bistrokent.com,330-673-9900,,Email,5,,2024-10-11 | COMPLETED | JustDeeDeeMusic Live @ Bistro On Main | 1313 W Main St; Kent; OH 44240-1939; United States | historical-2024-10-11-bistro-on-main-justdeedeemusic-live-bistro-on-main-58,,Fri Oct 11 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,1,,1,2026-05-08T02:35:41.539Z,Restaurant,,
BKO Distillery,1486 Medina Rd #215,Medina,44256,OH,bko-distillery-medina-oh-44256,-81.739607,41.1361,Needs Review,,,,330-451-6650,,,,,,,,,,,,,Other Venue,,
Black Frog Brewery,1966 E 66th St Suite 100,Cleveland,44103,OH,black-frog-brewery-cleveland-oh-44103,-81.644494,41.50626,Needs Review,,,,,,,,,,,,,,,,,Brewery,,
Blackheart Entertainment,,,,OH,blackheart-entertainment-oh,-81.706334,41.288849,Needs Review,,,,440-785-2760,,,,,,,,,,,,,Art Gallery,,
Blind Squirrel Winery,7918 Pettibone Rd,Chagrin Falls,44023,OH,blind-squirrel-winery-chagrin-falls-oh-44023,-81.359602,41.36209,Not Contacted Yet,04/25/2024,Cookie,theblindsquirrelwinery@gmail.com,216-210-4946,,Email,3,,,,,,,,2,2026-05-07T04:36:16.000Z,Winery,,
Block 7 Bar & Grill,524 W Tuscarawas Ave,Barberton,44203,OH,block-7-bar-and-grill-barberton-oh-44203,-81.609107,41.012815,Open Microphone,,,,330-745-7677,,,4,,,,,,,,1,2026-05-07T04:36:16.000Z,Restaurant,https://block7bar.com/,Open microphone
Blue Barn Winery,4470 S Columbus Rd,Wooster,,OH,blue-barn-winery-wooster-oh,-82.015955,40.745166,Told No / Closed / No Music,01/17/2024,,info@bluebarnwinery.com,330-575-1028,,Email,5,,,,,,,,1,2026-05-07T04:36:16.000Z,Winery,,Previous CRM status: Closed and Not Booking
Blue Heron Brewery & Event Center,3227 Blue Heron Trce,Medina,44256,OH,blue-heron-brewery-and-event-center-medina-oh-44256,-81.804365,41.110812,Not Contacted Yet,Thu Jul 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Laura  books in Nov.,Mike.p@blueheronmedina.com,330-870-2583,,,3,,,,,,,,2,2026-05-07T04:36:16.000Z,Brewery,,
Blue Monkey Brewing Company,5540 Wallings Rd,North Royalton,44133,OH,blue-monkey-brewing-company-north-royalton-oh-44133,-81.725673,41.330521,Played in the Past,01/27/2024,Ryan / Diane,bluemonkeybrewing@gmail.com,330-321-4774,,stop,1,,2024-05-24 | COMPLETED | JustDeeDeeMuisc Live @ Blue Monkey Brewing Company | 5540 Wallings Rd; Manual sheet history: Played=Yes; North Royalton; OH 44133 | historical-2024-05-24-blue-monkey-brewing-company-justdeedeemuisc-live-blue-monkey-brewing-company-24; last played=2024-05-24.; recorded count=3,,Fri May 24 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,3,,3,2026-05-08T02:35:41.539Z,Brewery,,
Blue Turtle Tavern,29352 Lorain Rd,North Olmsted,44070,OH,blue-turtle-tavern-north-olmsted-oh-44070,-81.945219,41.406455,Not Contacted Yet,Sat Jun 01 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Mike,robertvalore@sbcglobal.net,440-360-7700,,stop,3,,,,,,,,,,Pub/Bar,,
Brady Vineyards of Ohio and Heron Creek Winery,52185 Griggs Rd West,Wellington,44090,OH,brady-vineyards-of-ohio-and-heron-creek-winery-wellington-oh-44090,-82.317764,41.129441,Not Contacted Yet,03/19/2024,Sue,Sbk@bradyvinyards.com,440-506-7022,,Stop,3,,,,,,,,3,2026-05-07T04:36:16.000Z,Winery,https://heroncreekwine.com/,
Breitenbach Wine Cellars,5934 Old Rte 39 NW,Dover,44622,OH,breitenbach-wine-cellars-dover-oh-44622,-81.572224,40.509915,Needs Review,,,,330-343-3603,,,3,,,,,,,,,,Winery,http://www.breitenbachwine.com/,
Brew Garden,16555 Southpark Center,Strongsville,44136,OH,brew-garden-strongsville-oh-44136,-81.814328,41.307403,Not Contacted Yet,01/25/2024,Jakie or Brandon,Marketing@brewgarden.net,440-234-1002,,stop,1,,,,,,,,,,Brewery,http://www.brewgarden.com/,
Brew Garden18590 Bagley Rd,Middleburg Heights,OH 44130,,OH,brew-garden18590-bagley-rd-middleburg-heights-oh-44130,-81.83168,41.372116,Played in the Past,08/31/2024,Bryan,,440-234-1001,,,1,,2024-09-08; 2024-10-29,,Tue Oct 29 2024 00:00:00 GMT-0400 (Eastern Daylight Time),,2,0,2,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Brewery,http://www.brewgarden.com/,
Brewdog Cleveland,1956 Carter Rd,Cleveland,44113,OH,brewdog-cleveland-cleveland-oh-44113,-81.698186,41.488475,Needs Review,,,,216-367-2494,,,4,,,,,,,,,,Brewery,https://www.brewdog.com/usa/cleveland,
Brewsters Cafe Bistro Pub,2681 Creekside Dr,Twinsburg,44087,OH,brewsters-cafe-bistro-pub-twinsburg-oh-44087,-81.438231,41.308213,Not Contacted Yet,Fri Apr 12 2024 00:00:00 GMT-0400 (Eastern Daylight Time),Paula 216-536-1901,,330-405-7222,,,2,,,,,,,,,,Brewery,http://www.brewsters-cbp.com/,
BrewStreaks,6710 Lake Rd,Madison,44057,OH,brewstreaks-madison-oh-44057,-81.048068,41.836251,Not Contacted Yet,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),Julian,,440-428-5400,,,,,,,,,,,,,Brewery,,
Briarwood Golf Club,2737 W Edgerton Rd,Broadview Heights,44147,OH,briarwood-golf-club-broadview-heights-oh-44147,-81.704254,41.295799,Needs Review,,,,440-237-5271,,,,,,,,,,,,,Other Venue,,
Brickyard Bar & GRill,580 W Lorain St #1004,Oberlin,44074,OH,brickyard-bar-and-grill-oberlin-oh-44074,-82.237283,41.294333,Needs Review,,,,440-775-0020,,,,,,,,,,,,,Restaurant,,
Brighten Brewing Company,1374 S Cleve-Mass Rd,Copley,44321,OH,brighten-brewing-company-copley-oh-44321,-81.644694,41.09909,Booked,Wednesday May 6th,Tom/christan,"kristin@brightenbrew.com tues,wed 4pm",330-576-3200,,stop,2,,2024-11-20 7:00pm ET | COMPLETED | New Event Brighton Brewing | 6344CD54-4DD3-4DD4-9F02-CED9E98729C0; 2025-03-14 7:00pm ET | COMPLETED | Brighton Brewing | 0652047E-BC04-49D7-A65A-0C8B8241844B; 2025-08-15 7:00pm ET | COMPLETED | Brighton Brewing | 5a4qrhi39af95d1d1u0knen45b@google.com; 2025-10-22 7:00pm ET | COMPLETED | Brighton Brewing | 571id1d3ma1vlpu132e0402gtp@google.com; 2025-12-03 7:00pm ET | COMPLETED | Brighton Brewing | 6cr46ek5qcdfq5m7o1kom8u65s@google.com; 2026-05-06 7:00pm ET | COMPLETED | Brighton Brewing | 6r6qd4hrtcp70lg22ds7boho4i@google.com,2026-07-08 7:00pm ET | BOOKED | Brighton Brewing | 537aq22nge6ml0eemgse7rrjcc@google.com; 2026-09-02 7:00pm ET | BOOKED | Brighton Brewing | 1ab95f1o2uqpgo957c2rhbt66e@google.com; 2026-11-04 7:00pm ET | BOOKED | Brighton Brewing | 7ve696o80eq3ce3taarfp3j0bc@google.com,Wed May 06 2026 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 08 2026 00:00:00 GMT-0400 (Eastern Daylight Time),6,3,6,2026-05-08T02:35:41.539Z,Brewery,http://brightenbrew.com/,
Broadview Brewing Company,4001-A,Towpath Rd,,OH,broadview-brewing-company-broadview-heights-oh-44147,-81.68364,41.290874,Told No / Closed / No Music,Sat Aug 02 2025 00:00:00 GMT-0400 (Eastern Daylight Time),,,440-627-6017,,stop,5,,,,,,,,,,Brewery,http://www.broadviewbrewingcompany.com/,Previous CRM status: Closed and Not Booking
Bronzewood Golf Club,9645 Kinsman Pymatuning Rd,Kinsman,44428,OH,bronzewood-golf-club-kinsman-oh-44428,-80.553974,41.484858,Needs Review,,,,330-876-5300,,,,,,,,,,,,,Other Venue,,
Browns Cheesesteak on the Strip,5340 Lake Rd E,Geneva,44041,OH,browns-cheesesteak-on-the-strip-geneva-oh-44041,-80.94819,41.860781,Told No / Closed / No Music,Sat Mar 08 2025 00:00:00 GMT-0500 (Eastern Standard Time),,,440-261-0038,,,,,,,,,,,,,Other Venue,,Previous CRM status: Closed and Not Booking
Bud's Corner,5750 Columbus Rd NE,Louisville,44641,OH,bud-s-corner-louisville-oh-44641,-81.29158,40.858909,Needs Review,,,,330-454-0235,,,4,,,,,,,,,,Other Venue,,
Buffalo Wild Wings,3001 State Rd,Cuyahoga Falls,44223,OH,buffalo-wild-wings-cuyahoga-falls-oh-44223,-81.509496,41.154001,Not Contacted Yet,05/18/2024,Rob/conner,,234-901-6660,,stop,1,,,,,,,,,,Other Venue,https://www.buffalowildwings.com,
Bummin' Beaver Brewery,11610 E Washington St,Chagrin Falls,44023,OH,bummin-beaver-brewery-chagrin-falls-oh-44023,-81.223251,41.387341,Booked,03/20/2024,Mike,info@BumminBeaver.com,440-543-9900,,email/stop,1,,2024-12-06 | COMPLETED | JustDeeDeeMusic Live @ Bummin' Beaver Brewery | 11610 E Washington St; 2025-07-26; 2025-07-26 6:00pm ET | COMPLETED | Bummin' Beaver Brewery | 11610 E Washington St; 2025-08-23; 2025-08-23 6:00pm ET | COMPLETED | Bummin' Beaver Brewery | 11610 E Washington St; 2026-03-07; 2026-03-07 6:00pm ET | COMPLETED | Bummin' Beaver Brewery | 11610 E Washington St; Chagrin Falls; OH 44023 | 15sm57qqqrk3g95dcuqgr5lmmr@google.com; OH 44023 | 3hqiavl6urrgn1bvf8qbib25n0@google.com; OH 44023 | 65lnbq7eu5cv2m7dr1hc2qf7hn@google.com; OH 44023 | historical-2024-12-06-bummin-beaver-brewery-justdeedeemusic-live-bummin-beaver-brewery-70,2026-07-17; 2026-07-17 6:00pm ET | BOOKED | Bummin' Beaver Brewery | 11610 E Washington St; 2026-08-14; 2026-08-14 6:00pm ET | BOOKED | Bummin' Beaver Brewery | 11610 E Washington St; 2026-11-13; 2026-11-13 6:00pm ET | BOOKED | Bummin' Beaver Brewery | 11610 E Washington St; Chagrin Falls; OH 44023 | 1e444o6si6feukdkko56qqquj4@google.com; OH 44023 | 1jrmgadmedhov9qrdiu1gn00d2@google.com; OH 44023 | 7tl8af0baq2ibqssh0hmkc58if@google.com,OH 44023 | historical-2024-12-06-bummin-beaver-brewery-justdeedeemusic-live-bummin-beaver-brewery-70,Fri Jul 17 2026 00:00:00 GMT-0400 (Eastern Daylight Time),12,10,22,Fri May 08 2026 00:58:22 GMT-0400 (Eastern Daylight Time),Brewery,http://www.bumminbeaver.com/,
Burns Brew House,2044 E Sand Rd,Port Clinton,43452,OH,burns-brew-house-port-clinton-oh-43452,-82.901814,41.516413,Needs Review,5/25/2024,,,,,Stop,,,,,,,,,,,Brewery,,
Burntwood Tavern,12 Main St,Westlake,44145,OH,burntwood-tavern-westlake-oh-44145,-81.952414,41.460431,Needs Review,01/28/2024,,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,19304 Detroit Rd,Rocky River,44116,OH,burntwood-tavern-rocky-river-oh-44116,-81.835972,41.481896,Needs Review,,,,,,,2,,,,,,,,,,Pub/Bar,,
Burntwood Tavern,2291 Riverfront Pkwy,Cuyahoga Falls,44221,OH,burntwood-tavern-cuyahoga-falls-oh-44221,-81.482044,41.137243,Needs Review,,,,,,,2,,,,,,,,,,Pub/Bar,,
